country,reachable_nodes,emission_co2,fossil_fuel_generation_tWh,emission_intensity_co2_per_kwh,eletricity_cost,renewables_nuclear_generation,IDH,internet_access
Africa do Sul,30,68071135,190603745,0.7077,0.191,0.1653,0.717,0.74703
Alemanha,1220,94950999,231496694,0.3810,0.365,0.5414,0.95,0.924764
Australia,130,62949810,175737177,0.5487,0.273,0.3607,0.946,0.948762
Austria,66,10191312,10392192,0.1108,0.36,0.8448,0.926,0.953347
Belgica,34,10695520,2173712,0.1381,0.365,0.7362,0.942,0.946263
Brasil,73,90003316,66183104,0.0984,0.154,0.9072,0.76,0.841506
Bulgaria,31,7242189,13468632,0.3353,0.147,0.6632,0.799,0.803896
Canada,362,90028820,12609114,0.1700,0.126,0.8014,0.935,0.94
China,33,2374357090,6122246648,0.5823,0.078,0.3528,0.788,0.774827
Coreia do Sul,82,102692568,378770973,0.4306,0.131,0.3833,0.929,0.97416
Espanha,100,38007775,77876825,0.1741,0.226,0.7113,0.911,0.954456
Estados Unidos,2114,796696875,251033874,0.3695,0.184,0.4092,0.927,0.971299
Finlandia,352,7600768,4463056,0.0792,0.186,0.9441,0.942,0.935139
Franca,538,58197252,43288062,0.0560,0.315,0.9158,0.91,0.868364
Hong Kong,33,5114697,376441714656,0.6990,0.181,0.00639999999999996,0.956,0.956136
Irlanda,34,5987415,17701376,0.2908,0.439,0.4368,0.95,0.955905
Italia,64,49837684,147780024,0.3307,0.457,0.4372,0.906,0.870278
Japao,75,207262795,694558403,0.4854,0.221,0.3147,0.92,0.849234
Lituania,30,1044724,1309936,0.1601,0.267,0.7644,0.879,0.885029
Noruega,32,10797377,2242414,0.0301,0.172,0.9854,0.966,0.99
Paises Baixos,328,15183245,59719135,0.2676,0.266,0.5111,0.946,0.970068
Polonia,65,42693750,122934375,0.6619,0.241,0.2715,0.881,0.864147
Reino Unido,245,46400769,117161208,0.2376,0.368,0.6008,0.94,0.953412
Russia,169,245973483,753109812,0.4410,0.058,0.3604,0.821,0.92245
Singapura,110,2929563,54727218,0.4708,0.254,0.0454000000000001,0.949,0.942863
Suecia,63,10181232,29113,0.0407,0.224,0.9825,0.952,0.957033
Suica,204,7372560,1722627,0.0348,0.404,0.9757,0.967,0.97344
Republica Tchequia,97,15403596,34448596,0.4497,0.359,0.5478,0.895,0.859941
Ucrania,40,22879655,30571686707,0.2600,0.064,0.7043,0.734,0.792183
